z_daughter,a_daughter,element_daughter,z_parent,z_parent,element_parent,daughter_level_idx,cumulative_thermal_fy,unc_ct,cumulative_fast_fy,unc_cf,cumulative_14mev_fy,unc_c14,Extraction_date
31,69,Ga,94,239,Pu,0,0.000000088197,0.00000001323,0.00000027248,0.000000040872,,,2024-08-21
31,70,Ga,94,239,Pu,0,0.000000000037703,0.000000000015757,0.000000000014693,0.0000000000062041,,,2024-08-21
31,71,Ga,94,239,Pu,0,0.00000050296,0.000000075444,0.0000015262,0.0000002289,,,2024-08-21
31,72,Ga,94,239,Pu,0,0.0000011399,0.00000017099,0.00000344,0.000000516,,,2024-08-21
31,73,Ga,94,239,Pu,0,0.0000028923,0.00000043384,0.0000075121,0.0000011343,,,2024-08-21
31,74,Ga,94,239,Pu,0,0.0000053849,0.0000008273,0.000012177,0.0000018884,,,2024-08-21
31,75,Ga,94,239,Pu,0,0.000015755,0.0000023804,0.000032234,0.0000049322,,,2024-08-21
31,76,Ga,94,239,Pu,0,0.000031504,0.0000048125,0.000061362,0.0000095299,,,2024-08-21
31,77,Ga,94,239,Pu,0,0.000053454,0.0000066439,0.00010429,0.000016834,,,2024-08-21
31,78,Ga,94,239,Pu,0,0.00011302,0.000020516,0.00012903,0.000025053,,,2024-08-21
31,79,Ga,94,239,Pu,0,0.00010724,0.000034705,0.00013485,0.000036278,,,2024-08-21
31,80,Ga,94,239,Pu,0,0.000054181,0.000022036,0.000069902,0.000026129,,,2024-08-21
31,81,Ga,94,239,Pu,0,0.000022357,0.0000094231,0.000029543,0.000012011,,,2024-08-21
31,82,Ga,94,239,Pu,0,0.0000034112,0.0000014596,0.000005748,0.0000024193,,,2024-08-21
31,83,Ga,94,239,Pu,0,0.00000033765,0.00000012443,0.00000067587,0.00000025048,,,2024-08-21
31,84,Ga,94,239,Pu,0,0.000000022852,0.0000000089249,0.000000041944,0.000000014874,,,2024-08-21
31,85,Ga,94,239,Pu,0,0.0000000010135,0.00000000037611,0.0000000014577,0.00000000052736,,,2024-08-21
31,86,Ga,94,239,Pu,0,0.00000000002246,0.0000000000080684,0.000000000023877,0.0000000000085881,,,2024-08-21
32,70,Ge,94,239,Pu,0,0.000000000037548,0.000000000015693,0.000000000014633,0.0000000000061787,,,2024-08-21
32,71,Ge,94,239,Pu,0,0.0000000000010869,0.00000000000038739,,,,,2024-08-21
32,72,Ge,94,239,Pu,0,0.00000114,0.000000171,0.00000344,0.000000516,,,2024-08-21
32,73,Ge,94,239,Pu,0,0.0000028939,0.00000043409,0.0000075127,0.0000011343,,,2024-08-21
32,74,Ge,94,239,Pu,0,0.0000070382,0.0000010515,0.000016002,0.0000024009,,,2024-08-21
32,75,Ge,94,239,Pu,0,0.000016216,0.0000024486,0.000032522,0.0000049759,,,2024-08-21
32,76,Ge,94,239,Pu,0,0.00003601,0.0000054376,0.000064846,0.000010051,,,2024-08-21
32,77,Ge,94,239,Pu,0,0.000030463,0.0000050333,0.000038522,0.0000079025,,,2024-08-21
32,78,Ge,94,239,Pu,0,0.00028044,0.000026689,0.00023133,0.000038406,,,2024-08-21
32,79,Ge,94,239,Pu,0,0.00016782,0.000038482,0.00017372,0.000039067,,,2024-08-21
32,80,Ge,94,239,Pu,0,0.00068493,0.00012916,0.00058595,0.00011594,,,2024-08-21
32,81,Ge,94,239,Pu,0,0.00051299,0.0001389,0.00047596,0.0001272,,,2024-08-21
32,82,Ge,94,239,Pu,0,0.00034865,0.00012196,0.00046634,0.00015541,,,2024-08-21
32,83,Ge,94,239,Pu,0,0.000090181,0.00003163,0.00015144,0.000051185,,,2024-08-21
32,84,Ge,94,239,Pu,0,0.000024256,0.0000094156,0.000042997,0.000014935,,,2024-08-21
32,85,Ge,94,239,Pu,0,0.0000029469,0.0000010927,0.0000044509,0.0000016064,,,2024-08-21
